message,harm_type,harm_note
how's chemo Biev?,toxic,"Mocking the streamer's appearance by referencing cancer treatment, which is harassment."
what a shit tag,toxic,Mild profanity expressing frustration/criticism in a dismissive way
suck my ass biev,toxic,Vulgar insult directed at the streamer
skenes dogshit,toxic,Crude insult directed at a player using vulgar language.
stfu locky,toxic,Direct hostile dismissal telling another user to shut up.
skenes is looking like shit,toxic,Vulgar insult directed at a player's performance.
fuck the sabers,toxic,Mild profanity expressing hostility toward a sports team.
pull his ass,toxic,Mildly aggressive language directed at a player's performance.
this pitcher sucks,toxic,Insulting language directed at a player.
skenes is beyond washed,toxic,Disparaging comment about a player's abilities.
well fk me,toxic,"Mild self-directed profanity expressing frustration, likely over a bet."
Skenes washed,toxic,Disparaging comment about a player.
skenes is bad omg,toxic,Insulting comment about a player's performance.
skenes is done,toxic,Dismissive negative comment about a player.
skenes is ass,toxic,Vulgar insult directed at a player.
Livvy busy riding Noah Beck's back while her man is serving them up,toxic,Sexually suggestive and degrading comment about a player's partner.
over was best bet of decade,addiction_normalization,Hyperbolic celebration of a bet normalizes gambling success as exceptional achievement.
Skenes has to break up with that bitch,toxic,Misogynistic slur targeting a player's partner.
I nuked the over too lmao gonna hit first inning,addiction_normalization,Using 'nuked' to describe a large bet normalizes reckless gambling behavior.
WHY IS HE NOT WEARING SHADES!!!!!,toxic,Spam/flooding the chat with repeated all-caps messages (appears 8 times)
what the fuck Cruz,toxic,Aggressive language directed at a player
IF YOU TOOK THIS NRFI DELETE YIUR SPORTSBOOK,toxic,"Aggressive shaming of users who made a particular bet, mocking their losses."
Oneil Cruz is ass,toxic,Crude insult directed at a player.
oniel garbage,toxic,Derogatory insult directed at a player.
"anytime Trent glazes the slate, you jus know it's a full fading day 🤣",persuasion,"Encouraging users to automatically fade/bet against the streamer's picks, promoting reactive gambling behavior."
IMAGINE TAILING RAV AFTER HE QUIT HIS CHALLANGE!!!!,toxic,Mocking the streamer and shaming viewers who followed his betting advice.
im boutta kms,toxic,"Reference to self-harm, even if casual/joking, normalizes harmful language in gambling context."
ok im drunk,addiction_normalization,Casually announcing intoxication while engaged in gambling content normalizes risky behavior.
LMAO RAV EAT SHIT,toxic,Direct vulgar insult directed at the streamer.
typical Rav piss,toxic,Derogatory comment directed at the streamer
Biev you look like the evil kid from Toy Story,toxic,Insulting another user's appearance
Noah Beck gonna hit Livvy tonight,toxic,Sexually suggestive comment about real people
betting every pirates game till i stop,addiction_normalization,Normalizes compulsive gambling behavior without limits
he is so horrible,toxic,Insulting comment directed at a player or person.
can't wait to see biev b*tching about his plays later,toxic,Mocking another user/streamer with crude language.
she rides his shit with no words said,toxic,Crude sexual comment objectifying a person.
fuck cruz,toxic,Aggressive profanity directed at a player.
livvy doesnt know waht the fuck era is,toxic,"Dismissive, mocking comment targeting a specific person."
"not good job, just blow job",toxic,Sexual and demeaning comment.
probably just spreads them,toxic,Sexual and objectifying comment about a person.
Probably just fucks his brains out,toxic,Crude sexual comment objectifying a relationship.
gives him a Blumpkin,toxic,Vulgar sexual reference meant to demean.
rav grow up dude,toxic,Dismissive and condescending comment directed at the streamer.
fuck Rav,toxic,Direct hostile language targeting the streamer
first inning Terrorist... than fucking lights out,toxic,Use of inflammatory language ('Terrorist') as an insult toward a player's performance.
send oneil cruz to korea,toxic,"Dismissive comment suggesting banishment of a player, potentially with xenophobic undertones."
Rays ML a full send tonight right?,persuasion,Seeking validation for a bet using 'full send' language that promotes impulsive betting behavior.
Respectfully - biev looks like a 12 year old with the haircut,toxic,Mocking the streamer's appearance by comparing them to a child
lost fucking 3k in baccarat yesterday... so dumb of me,addiction_normalization,"Casually describing a $3,000 gambling loss normalizes significant financial losses from gambling"
i was betting 1k hands yesterday at one point i was down 10k,addiction_normalization,"Describing $1,000 hands and $10,000 losses casually normalizes extreme high-stakes gambling behavior"
If i saw biev walking the streets id probably think he is racist,toxic,Accusatory and insulting comment directed at the streamer
i was getting up to like $300 hands at one point it was bad,addiction_normalization,Describing escalating bet sizes as merely 'bad' normalizes problematic gambling behavior
Biev you kiss your sister on the lips with that mustache?,toxic,Crude incest joke directed at the streamer as an insult
Wheres Lady Boy Rav LGM,toxic,Uses a derogatory term ('Lady Boy') to refer to another person
shits fucking stupid,toxic,Aggressive/vulgar expression of frustration that contributes to negative chat atmosphere
fuck man,toxic,Mild profanity expressing frustration over a lost bet
u have to sign up @krabs,persuasion,Pressuring another user to sign up for a betting platform.
the fuck are we doing,toxic,Mildly aggressive/frustrated language directed at the group.
you said it was a lock,addiction_normalization,Reinforces 'lock' mentality suggesting guaranteed wins in gambling.
miseroski is ass lmfaooo,toxic,Crude insult directed at a person.
biev you look lik the evil kid from Toy Story w that chop,toxic,Insulting the streamer's appearance by comparing them to a villain character.
biev thats on you dude,toxic,Blaming the streamer aggressively for a betting loss.
fuck u beiv,toxic,Direct verbal abuse and profanity toward the streamer.
biev you look like the evil kid from Toy Story w that chop,toxic,Repeated insult about the streamer's appearance.
shit up biev,toxic,Hostile dismissal telling the streamer to shut up.
trent can you sack up dude,toxic,Aggressive challenge to the streamer's masculinity/courage.
lesson is don't listen to biev,toxic,Mocking/blaming another user for betting losses
"""if the Celtics lose I'll cut my balls off"" - Trent 12/19/2024",toxic,Vulgar quote promoting extreme emotional investment in betting outcomes
Trent get it back with yandy 2.5 hrr plus money,persuasion,Encouraging chasing losses with another bet to 'get it back'
Trent u want free money... 5u Whale Phillies ML,persuasion,Framing bet as 'free money' creates false sense of guaranteed win to pressure betting
if it misses ill buy you any phillies jersey you want,persuasion,"Offering incentive to encourage betting, reducing perceived risk"
holy sh it yall are dumb,toxic,Insulting other chat users
Biev are you being this stupid on purpose?,toxic,Direct insult calling another user stupid
wtf are you homeschooled?,toxic,Mocking someone's education in a derogatory manner
I'm convinced y'all had fake educations,toxic,Insulting other users' intelligence and education
biev was homeschooled,toxic,Repeated mocking of specific user using homeschooling as an insult
James Wood is ass sorry Krabs,toxic,Uses crude/vulgar language to insult a player.
ass hat,toxic,Direct insult/name-calling.
Trent is washed... and Biev is donating,toxic,Insults streamers by calling one 'washed' and mocking another's losses.
rav is soft,toxic,Insults/mocks a streamer or community member.
trent throw a rack on dodgers -1.5,persuasion,"Pressures streamer to place a large bet ($1,000) on a specific wager."
can't wait for the cubs to score and cook you,toxic,Expressing anticipation for another user to lose their bet in a mocking manner
